date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-04-30,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18
2020-05-07,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,19
2020-05-14,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20
2020-05-21,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,21
2020-05-28,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,22
2020-06-04,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,23
2020-06-11,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24
2020-06-18,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25
2020-06-25,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26
2020-07-02,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27
2020-07-09,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28
2020-07-16,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29
2020-07-23,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30
2020-07-30,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,31
2020-08-06,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32
2020-08-13,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,33
2020-08-20,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,34
2020-08-27,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,35
2020-09-03,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,36
2020-09-10,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,37
2020-09-17,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,38
2020-09-24,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,39
2020-10-01,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,40
2020-10-08,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,41
2020-10-15,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,42
2020-10-22,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,43
2020-10-29,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,44
2020-11-05,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,45
2020-11-12,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,46
2020-11-19,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,47
2020-11-26,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,48
2020-12-03,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,3.0,0.0,49
2020-12-10,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,3.0,0.0,50
2020-12-17,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,51
2020-12-24,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,52
2020-12-31,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,3.0,0.0,53
2021-01-07,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1
2021-01-14,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
2021-01-21,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3
2021-01-28,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,4
2021-02-04,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,5
2021-02-11,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,6
2021-02-18,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7
2021-02-25,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8
2021-03-04,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9
2021-03-11,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,10
2021-03-18,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,2.0,0.0,11
2021-03-25,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,2.0,0.0,12
2021-04-01,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,2.0,0.0,13
2021-04-08,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,14
2021-04-15,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,4.0,0.0,15
2021-04-22,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,4.0,0.0,16
2021-04-29,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,60.0,0.0,17
2021-05-06,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,2.0,0.0,18
2021-05-13,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,14.0,0.0,19
2021-05-20,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20
2021-05-27,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,21
2021-06-03,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,22
2021-06-10,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,23
2021-06-17,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24
2021-06-24,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25
2021-07-01,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,2.0,0.0,26
2021-07-08,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27
2021-07-15,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,28
2021-07-22,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,29
2021-07-29,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,1.0,0.0,30
2021-08-05,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,31
2021-08-12,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,13.0,0.0,32
2021-08-19,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,27.0,0.0,33
2021-08-26,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,40.0,0.0,34
2021-09-02,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,62.0,0.0,35
2021-09-09,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,56.0,0.0,36
2021-09-16,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,19.0,0.0,37
2021-09-23,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,33.0,1.0,38
2021-09-30,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,61.0,0.0,39
2021-10-07,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,119.0,0.0,40
2021-10-14,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,124.0,0.0,41
2021-10-21,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,125.0,0.0,42
2021-10-28,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,99.0,0.0,43
2021-11-04,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,127.0,0.0,44
2021-11-11,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,90.0,2.0,45
2021-11-18,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,66.0,0.0,46
2021-11-25,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,159.0,0.0,47
2021-12-02,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,80.0,0.0,48
2021-12-09,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,109.0,1.0,49
2021-12-16,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,69.0,0.0,50
2021-12-23,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,54.0,1.0,51
2021-12-30,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,28.0,0.0,52
2022-01-06,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,103.0,1.0,1
2022-01-13,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,263.0,0.0,2
2022-01-20,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,147.0,1.0,3
2022-01-27,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,137.0,1.0,4
2022-02-03,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,60.0,0.0,5
2022-02-10,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,74.0,1.0,6
2022-02-17,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,48.0,0.0,7
2022-02-24,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,22.0,0.0,8
2022-03-03,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,27.0,0.0,9
2022-03-10,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,19.0,0.0,10
2022-03-17,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,20.0,0.0,11
2022-03-24,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,39.0,0.0,12
2022-03-31,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,67.0,0.0,13
2022-04-07,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,17.0,0.0,14
2022-04-14,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,14.0,0.0,15
2022-04-21,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,16
2022-04-28,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,57.0,0.0,17
2022-05-05,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18
2022-05-12,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,196.0,0.0,19
2022-05-19,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,132.0,0.0,20
2022-05-26,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,87.0,0.0,21
2022-06-02,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,91.0,0.0,22
2022-06-09,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,48.0,0.0,23
2022-06-16,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,32.0,0.0,24
2022-06-23,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,37.0,0.0,25
2022-06-30,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,45.0,0.0,26
2022-07-07,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,20.0,0.0,27
2022-07-14,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,20.0,0.0,28
2022-07-21,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,39.0,0.0,29
2022-07-28,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,45.0,1.0,30
2022-08-04,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,40.0,0.0,31
2022-08-11,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32
2022-08-18,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,126.0,0.0,33
2022-08-25,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,59.0,0.0,34
2022-09-01,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,32.0,1.0,35
2022-09-08,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,14.0,1.0,36
2022-09-15,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,5.0,0.0,37
2022-09-22,AI,Q25228,Anguilla,15002,18.227222,-63.048889,0,0,0,0,0,0,0,0,0,0,0.0,0.0,38
